epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,147.95,1.49138,2.61426,1.43055,0.59331,0.51638,0.54993,0.32211,1.45799,1.70487,1.4603,0.000207767,0.000207767,0.000207767
2,291.628,1.4892,2.08002,1.45098,0.56718,0.49434,0.50422,0.28506,1.52923,1.8157,1.54285,0.000407862,0.000407862,0.000407862
3,434.135,1.51046,2.03812,1.47915,0.57108,0.47077,0.50513,0.28007,1.54766,1.77144,1.56666,0.000599706,0.000599706,0.000599706
4,574.575,1.52163,1.959,1.483,0.56449,0.46755,0.50513,0.28871,1.53784,1.7627,1.52561,0.000587875,0.000587875,0.000587875
5,714.036,1.50357,1.88027,1.47689,0.60827,0.52217,0.54842,0.31083,1.53632,1.67723,1.53999,0.0005755,0.0005755,0.0005755
6,853.853,1.4781,1.79968,1.45928,0.61922,0.52603,0.5665,0.3363,1.47249,1.60366,1.49249,0.000563125,0.000563125,0.000563125
7,992.985,1.46053,1.74115,1.44584,0.61208,0.55113,0.58271,0.34201,1.48508,1.54472,1.47349,0.00055075,0.00055075,0.00055075
8,1133.94,1.45506,1.68497,1.44011,0.62782,0.49006,0.53294,0.31107,1.5134,1.70123,1.52238,0.000538375,0.000538375,0.000538375
9,1272.53,1.43311,1.6389,1.42403,0.67753,0.5358,0.60334,0.36091,1.4455,1.44123,1.45602,0.000526,0.000526,0.000526
10,1411.92,1.40984,1.58574,1.407,0.68585,0.57552,0.62767,0.37737,1.45557,1.42051,1.47033,0.000513625,0.000513625,0.000513625
11,1552.66,1.40713,1.56456,1.41213,0.71796,0.57261,0.65808,0.40253,1.40491,1.33628,1.42446,0.00050125,0.00050125,0.00050125
12,1693.12,1.41133,1.52564,1.40568,0.6864,0.59015,0.64972,0.39582,1.4106,1.34251,1.42504,0.000488875,0.000488875,0.000488875
13,1832.22,1.39215,1.51012,1.39274,0.7022,0.58732,0.65836,0.40987,1.38929,1.32554,1.42165,0.0004765,0.0004765,0.0004765
14,1972.5,1.37917,1.47437,1.38309,0.69499,0.58716,0.66178,0.40645,1.40962,1.31132,1.42569,0.000464125,0.000464125,0.000464125
15,2110.92,1.36292,1.43915,1.37123,0.68984,0.60115,0.6663,0.40997,1.37852,1.27947,1.40379,0.00045175,0.00045175,0.00045175
16,2251.16,1.35115,1.40521,1.36096,0.7129,0.61373,0.68751,0.42452,1.36628,1.26176,1.39461,0.000439375,0.000439375,0.000439375
17,2392.34,1.35281,1.39692,1.36364,0.74098,0.61279,0.7016,0.44018,1.35518,1.22664,1.39748,0.000427,0.000427,0.000427
18,2530.05,1.34438,1.36859,1.35101,0.71077,0.61536,0.6904,0.42928,1.36395,1.21917,1.39254,0.000414625,0.000414625,0.000414625
19,2668.16,1.3322,1.35327,1.34757,0.70347,0.60621,0.67837,0.42225,1.35563,1.23844,1.38016,0.00040225,0.00040225,0.00040225
20,2806.51,1.31802,1.33796,1.34128,0.72446,0.63034,0.70666,0.44143,1.34936,1.18205,1.37731,0.000389875,0.000389875,0.000389875
21,2945,1.31531,1.31369,1.33607,0.74162,0.64976,0.72421,0.45812,1.33737,1.14904,1.36573,0.0003775,0.0003775,0.0003775
22,3083.39,1.31623,1.30163,1.33321,0.74474,0.61928,0.7022,0.44656,1.31931,1.16855,1.34915,0.000365125,0.000365125,0.000365125
23,3222.4,1.30016,1.28579,1.3302,0.75143,0.64038,0.71949,0.4574,1.32626,1.13901,1.36361,0.00035275,0.00035275,0.00035275
