epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,159,1.54035,2.76264,1.47646,0.525,0.45449,0.45857,0.25755,1.57166,1.92575,1.57517,0.000207767,0.000207767,0.000207767
2,312.372,1.53891,2.23622,1.50147,0.49309,0.4324,0.42404,0.23743,1.58525,2.00164,1.59765,0.000407862,0.000407862,0.000407862
3,462.781,1.56192,2.17331,1.53105,0.53405,0.44947,0.44964,0.24976,1.60609,1.91481,1.61685,0.000599706,0.000599706,0.000599706
4,609.819,1.57167,2.10421,1.52891,0.48859,0.44478,0.43648,0.24362,1.60468,1.94559,1.59357,0.000587875,0.000587875,0.000587875
5,754.365,1.54408,1.99682,1.51978,0.59703,0.44598,0.47705,0.27805,1.55525,1.92855,1.56557,0.0005755,0.0005755,0.0005755
6,899.812,1.52334,1.92953,1.50296,0.58366,0.46057,0.50002,0.28867,1.55131,1.76736,1.58182,0.000563125,0.000563125,0.000563125
7,1043.77,1.50984,1.86752,1.49265,0.62249,0.46668,0.52257,0.30425,1.53402,1.68159,1.54953,0.00055075,0.00055075,0.00055075
8,1187.16,1.495,1.81291,1.48376,0.59451,0.50015,0.52895,0.31283,1.5149,1.63524,1.5298,0.000538375,0.000538375,0.000538375
9,1331.22,1.47652,1.75061,1.45969,0.63483,0.50727,0.5576,0.32906,1.50381,1.58446,1.50362,0.000526,0.000526,0.000526
10,1473.42,1.46045,1.71576,1.4527,0.63129,0.5112,0.55233,0.32683,1.50541,1.56201,1.51293,0.000513625,0.000513625,0.000513625
11,1617.06,1.45078,1.69114,1.45518,0.67297,0.51628,0.59042,0.35396,1.46879,1.51623,1.49107,0.00050125,0.00050125,0.00050125
12,1760.78,1.44591,1.63829,1.44378,0.66217,0.54385,0.59905,0.36347,1.45771,1.46579,1.46788,0.000488875,0.000488875,0.000488875
13,1903.44,1.42877,1.62363,1.43197,0.66484,0.55456,0.61052,0.37542,1.4389,1.43974,1.4751,0.0004765,0.0004765,0.0004765
14,2048.34,1.41885,1.5846,1.42071,0.68248,0.5501,0.61764,0.37633,1.43449,1.41908,1.45952,0.000464125,0.000464125,0.000464125
15,2190.55,1.40192,1.54289,1.40459,0.69074,0.54362,0.62062,0.37721,1.44796,1.41369,1.46492,0.00045175,0.00045175,0.00045175
